Username,Password,Jurisdiction,CaseType,idamId
PerftestIAC0001@gmail.com,Password12,IA,Asylum,a4d3f58d-b4fe-4ce4-a8bd-ad7ff243f4ac
PerftestIAC0002@gmail.com,Password12,IA,Asylum,1ac699ec-ff97-4e90-a54e-02ab9c93558c
PerftestIAC0003@gmail.com,Password12,IA,Asylum,cbfa1ba2-c339-4337-93a2-0e2d46322fcd
PerftestIAC0004@gmail.com,Password12,IA,Asylum,571e118b-5daf-4ef8-b6fb-edd3dfb3eaed
PerftestIAC0005@gmail.com,Password12,IA,Asylum,0d744661-c613-4673-9342-da9a9085625f
PerftestIAC0006@gmail.com,Password12,IA,Asylum,e7ac0bdc-1330-46fc-806d-1507585e83d2
PerftestIAC0007@gmail.com,Password12,IA,Asylum,59d6c8dc-3afd-42ba-bc96-ae2577be5197
PerftestIAC0008@gmail.com,Password12,IA,Asylum,5a2c00e9-44b0-4757-950a-b2c339368b84
PerftestIAC0009@gmail.com,Password12,IA,Asylum,618cb731-8fa6-4208-befc-4aaa4c3fbd95
PerftestIAC0010@gmail.com,Password12,IA,Asylum,9e600ba6-064e-4e33-8242-b5b1a8fee12e
PerftestIAC0011@gmail.com,Password12,IA,Asylum,49be06b6-73da-4fc3-a92c-8efc26d691d8
PerftestIAC0012@gmail.com,Password12,IA,Asylum,64ae9302-b90d-41a6-a3be-faed47296e13
PerftestIAC0013@gmail.com,Password12,IA,Asylum,0f1ac0c6-db74-48f8-9e27-389252fe4fae
PerftestIAC0014@gmail.com,Password12,IA,Asylum,5682237e-d11a-4b03-8fee-6b8d826d69ce
PerftestIAC0015@gmail.com,Password12,IA,Asylum,9cb20eca-a8ee-44c8-a574-285182887ce3
PerftestIAC0016@gmail.com,Password12,IA,Asylum,1af38833-2af3-4928-adab-41f1d8dff8a6
PerftestIAC0017@gmail.com,Password12,IA,Asylum,5bc3bf51-b786-483a-8494-4ba3602c3945
PerftestIAC0018@gmail.com,Password12,IA,Asylum,dda6826b-b3a8-4ec1-a9e0-63ba60f6d557
PerftestIAC0019@gmail.com,Password12,IA,Asylum,d816db56-4538-467e-96ba-0c068500b2bb
PerftestIAC0020@gmail.com,Password12,IA,Asylum,bdd1ab5a-53f9-4c63-a255-0872e2d66817
iacorg-a2xzn_user64@mailtest.co.uk,Pass19word,IA,Asylum,84d11063-97f5-4bcc-9861-6165e7ed9bb4
