Jurisdiction,CaseType,Reference,Username,Password,AssignmentIdamId,AssignmentEmail,AssignmentRole
IA,Asylum,1669721383390300,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1669722689714342,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509550530010,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509460253141,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509428059580,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509408813154,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509401193976,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509617201290,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509606530519,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509571994625,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
IA,Asylum,1667509549825620,pforgdiv-031u9-user0@mailinator.com,Pass19word,75fb6410-7b05-46c8-8b4c-1c5e9ef31dbe,pforgdiv-031u9-user0@mailinator.com,[LEGALREPRESENTATIVE]
